Hour/Generator No.,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
1,549.76,610.84,831.31,67.88,62.32,37.71,483.52,38.2,487.76,56.18,32.1,572.59,105.49,330.24,82.88,158.51,250.98,26.94,19.11,82.88,32.1,25.11,317.03,77.99,297.21,545.02,492,19.39,517.45,19.9,37.24,14.61,12.04,229.03,43.7,508.97,15.42,15.09,16.69,99.07,142.66,120.21,19.9,6.37,14.78,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,612.77,680.86,844.83,49.22,45.18,27.34,491.38,30.35,495.69,44.64,25.51,581.9,82.53,292.58,64.85,140.44,222.36,19.53,30.89,64.85,25.51,14.95,280.87,61.01,263.32,553.88,500,11.54,525.86,15.81,29.59,11.6,9.56,232.76,34.19,517.24,9.18,11.99,13.26,87.77,126.39,106.5,15.81,10.29,23.89,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,615.61,684.02,771.63,54.83,50.33,30.46,448.81,38.2,452.74,56.17,32.1,531.48,60.74,108.55,47.73,52.1,82.5,21.76,65.13,47.73,32.1,37.8,104.21,44.91,97.7,505.89,456.68,29.18,480.3,19.9,37.23,14.6,12.03,212.59,25.16,472.43,23.21,15.08,16.69,32.56,46.89,39.51,19.9,21.71,50.37,19.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,616.11,684.57,743.94,200.44,184,111.36,432.7,30.35,436.49,44.64,25.51,512.41,35.67,108.55,28.03,52.1,82.5,79.54,65.13,28.03,25.51,63.37,104.21,26.37,97.7,487.73,440.29,48.93,463.06,15.81,29.59,11.6,9.56,204.96,14.78,455.47,38.91,11.99,13.26,32.56,46.89,39.51,15.81,21.71,50.37,19.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,617.88,686.54,728.43,268.95,246.89,149.41,423.68,53.51,427.4,78.7,44.97,501.73,35.67,124.54,28.03,59.78,94.65,106.72,85.3,28.03,44.97,54.45,119.56,26.37,112.09,477.57,431.11,42.04,453.41,27.88,52.16,20.46,16.86,200.69,14.78,445.98,33.43,21.13,23.38,37.36,53.8,45.33,27.88,28.43,65.97,25.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,616.51,685.02,361.58,191.72,176,106.51,210.3,53.52,212.15,78.7,44.97,249.04,29.32,196.72,23.03,94.43,149.51,76.08,173.57,23.03,44.97,49.13,188.85,21.67,177.05,237.05,213.99,37.93,225.06,27.88,52.17,20.46,16.86,99.62,12.14,221.37,30.16,21.14,23.38,59.02,84.98,71.61,27.88,57.86,134.22,52.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,616.51,685.02,117.88,152.25,139.76,84.58,68.56,74.08,69.17,108.94,62.25,81.19,25.69,499.18,20.19,239.61,379.38,60.42,234.99,20.19,62.25,27.99,479.21,18.99,449.26,77.28,69.77,21.61,73.38,38.6,72.21,28.32,23.34,32.48,10.64,72.17,17.19,29.26,32.37,149.75,215.65,181.7,38.6,78.33,181.73,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,615.58,683.98,130.12,200.4,183.97,111.32,75.67,91.19,76.33,134.12,76.62,89.61,49.19,569.47,38.64,273.32,432.79,79.5,180.46,38.64,76.62,0,546.69,36.36,512.52,85.3,76.99,0,80.98,47.49,88.89,34.84,28.71,35.82,20.36,79.65,0,35.99,39.83,170.81,245.99,207.26,47.49,60.13,139.54,54.11,0.7,1.02,0.79,0.46,0.96,0.86,0.98,0.71,0.78,0.63,2.88,2.87,0.13,0.93,0.59,0.45,0.52,0.41,0.17,0.18,0.2,0.67,0.98,2.95,0,3.4,3.26,3.02,0.9,0.1,0.1,0.14,0.78,0.59,0.16
9,613.67,681.86,463.9,301.92,277.15,167.71,269.8,100.89,272.17,148.39,84.78,319.51,60.71,549.12,47.69,263.56,417.32,119.78,141.19,47.69,84.78,0,527.15,44.87,494.2,304.12,274.53,0,288.74,52.55,98.35,38.55,31.77,127.78,25.13,284,0,39.82,44.06,164.71,237.2,199.85,52.55,47.04,109.17,42.33,13.08,11.14,8.76,8.71,10.51,9.5,10.76,7.87,8.63,7.05,13.69,17.46,3.82,10.27,11.04,8.56,9.87,4.72,3.59,3.74,4.17,12.5,10.76,17.92,17.04,16.13,15.47,14.35,9.88,3.15,2.99,4.22,8.63,6.61,3.27
10,614.88,683.21,564.93,301.92,277.16,167.72,328.56,288.2,331.45,423.85,242.18,389.1,41.91,470.55,32.92,225.85,357.61,119.79,198.11,32.92,242.18,0,451.73,30.97,423.49,370.36,334.33,0,351.62,150.14,280.94,110.17,90.8,155.62,17.34,345.86,0,113.81,125.92,141.14,203.26,171.26,150.14,66.01,153.2,59.41,39.2,37.95,29.86,26.13,35.83,32.4,36.68,26.85,29.44,24.08,21.69,50.89,13.98,34.99,33.1,25.7,29.59,16.18,10.86,11.29,12.59,37.47,36.68,52.24,57.22,25.55,24.51,22.73,33.67,11.58,10.99,15.45,29.44,22.57,9.9
11,613.25,681.39,540.4,521.1,478.36,289.49,314.31,409.33,317.06,601.96,343.97,372.21,63.97,364.92,50.26,175.15,277.33,206.78,234.98,50.26,343.97,0,350.32,47.29,328.42,354.29,319.82,0,336.36,213.26,399.01,156.5,128.98,148.88,26.5,330.85,0,161.66,178.86,109.47,157.64,132.82,213.26,78.32,181.72,70.49,64.57,69.35,54.58,43.07,65.49,59.22,67.03,49.09,53.81,44.03,20.96,97.05,26.78,63.94,54.53,42.36,48.76,29.61,17.93,18.65,20.78,61.73,67.03,99.62,116.96,24.69,23.68,21.97,61.54,22.2,21.07,29.6,53.81,41.28,16.35
12,612.05,680.05,805.48,744.08,683.06,413.38,468.49,462.82,472.6,680.62,388.93,554.8,70.91,377.02,55.71,180.97,286.53,295.27,226.21,55.71,388.93,20.84,361.94,52.42,339.32,528.08,476.71,16.09,501.37,241.13,451.15,176.96,145.85,221.92,29.38,493.15,12.8,182.79,202.24,113.11,162.87,137.23,241.13,75.4,174.94,67.86,87.51,81.98,64.53,58.37,77.41,70.01,79.24,58.03,63.61,52.05,29.5,139.39,57.06,75.59,73.91,57.41,66.09,35,24.31,25.28,28.17,83.65,79.24,143.07,173.89,34.74,33.32,30.91,72.75,47.31,44.9,63.08,63.61,48.8,22.17
13,616.51,685.02,728.44,611.32,561.19,339.62,423.68,485.92,427.4,714.59,408.34,501.73,86.76,496.88,68.17,238.5,377.63,242.59,218.95,68.17,408.34,46.64,477.01,64.14,447.2,477.57,431.12,36.01,453.41,253.17,473.67,185.79,153.13,200.69,35.94,445.98,28.64,191.92,212.34,149.07,214.65,180.87,253.17,72.98,169.32,65.69,78.46,70.56,55.54,52.34,66.63,60.25,68.2,49.95,54.75,44.8,53.71,131.66,85.32,65.06,66.27,51.48,59.26,30.13,21.8,22.67,25.26,75.01,68.2,135.14,129.03,63.25,60.68,56.29,62.61,70.74,67.14,94.32,54.75,42,19.88
14,604.08,671.2,361.58,422.41,387.77,234.67,210.3,512.28,212.15,753.36,430.49,249.04,152.45,455.05,119.78,218.42,345.83,167.62,136.46,119.78,430.49,37.8,436.84,112.7,409.54,237.05,213.99,29.19,225.06,266.9,499.37,195.87,161.43,99.62,63.16,221.37,23.21,202.33,223.85,136.51,196.58,165.64,266.9,45.49,105.53,40.94,49.3,61.18,48.16,32.88,57.78,52.25,59.14,43.31,47.48,38.85,89.24,72.23,66.12,56.41,41.63,32.34,37.23,26.12,13.7,14.24,15.87,47.12,59.14,74.14,59.71,105.1,100.82,93.52,54.29,54.82,52.03,73.09,47.48,36.42,12.49
