timestep,DATETIME,130,126,127,128,129,103,104,105,106,107,122,123,124,125,64,65,66,67,68,69,70,71,72,73,131,74,75,76,77,78,79,80,81,82,83,84,132,89,97,85,98,94,95,90,91,92,93
t0001,1/1/2024 0:00,0.17064,12.76540429,5.058859058,0.822721879,1.687491773,0.458135147,3.724273617,2.477266582,0.769739598,0.902115969,0.877676173,1.942836719,13.84748371,11.69307518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t0002,1/1/2024 1:00,0.17136,13.68227929,9.208172807,3.046362513,4.078826955,0.90083454,8.090244544,3.031204374,1.013277106,0.951622868,2.008854158,4.622050286,14.57206253,12.96230903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t0003,1/1/2024 2:00,0.1728,12.68189852,9.190788055,9.545811027,5.380704073,2.412459194,13.33559668,3.089380108,0.506919663,0.904939383,2.794547153,6.191501585,13.67795617,11.40755042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t0004,1/1/2024 3:00,0.17296,14.30578377,9.695205141,53.62780355,26.62367784,5.340159528,23.85055455,2.486114798,0.367774841,0.978895541,9.659555741,9.045088336,15.21059057,13.58581704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t0005,1/1/2024 4:00,0.1728,12.5690618,9.710853067,51.88084452,29.80458783,5.856456201,23.96261157,2.629417652,0.34906547,0.906345466,10.97550551,9.334107596,14.14970577,11.80760622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t0006,1/1/2024 5:00,0.17256,14.24098347,9.711413631,71.42488178,33.852482,6.18572992,23.92244918,3.616841367,0.485107851,0.979641063,13.55003652,9.357822481,15.49832023,14.10021538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t0007,1/1/2024 6:00,0.17672,15.01989557,9.711413631,74.88224158,35.04374029,6.192353449,24.0676429,5.179692126,1.581002748,1.008214838,13.77930527,9.357842746,15.79096115,14.96525947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t0008,1/1/2024 7:00,0.17616,15.11913584,9.711413631,68.47023545,34.71418784,6.180120784,24.07791723,5.896221374,1.891199041,1.013398631,13.61088975,9.357842746,15.86597206,15.05730092,0,0,0,0,0,0,0,0,0,0,0.0197079,0,0,0,0,0,0,0,0,0,0,0,0,0,2.933111722,1.373481121,2.616159774,3.653319723,1.955244272,0,0,0,0
t0009,1/1/2024 8:00,0.17656,15.11933808,9.711413631,49.07569579,32.54985562,6.127985989,24.07866735,5.213963498,1.894127006,1.013398631,12.69595336,9.357816996,15.86597206,15.04023329,0.416688736,0.033556665,0.025976403,0.00447323,0.198107824,0.178190601,0.059951084,0.050950108,0.208956811,0.001691796,62.82363031,0.432592119,0.311581438,0.385003616,0.004968774,0.024466166,0.032802986,0.030377855,0.010277184,0.344533403,0.370157344,0.057811519,0.082116572,0.001989371,18.64307573,8.729947911,16.62850563,29.62131566,12.42767767,0.057511864,0.00360315,0.042470787,0.217410607
