1,2,3
19378.94544,53554.198963130046,32512.896010442633
15220.28785279828,53445.03142166493,26453.45397715468
12838.9286588995,53271.897456670275,25691.88398545351
12061.385639886881,53215.36708994121,25443.222028469572
13970.938114962766,53354.19889414727,26053.905994025816
18956.051075460684,53716.63576679134,27648.16882172105
19378.94544,53490.63242323021,34069.12580001143
19378.94544,53147.24686875198,42475.85730778864
19378.94544,52854.25727491714,49648.79979120436
19378.94544,52648.7063929179,54681.07636128324
19378.94544,53135.07787150608,56200.953471372195
19378.94544,54126.1875256907,56491.78262207963
19378.94544,53846.040346211594,56409.5768150981
19378.94544,53534.900533314634,56318.276598748824
19378.94544,54068.16657312241,57761.26957774948
19378.94544,53891.408517132724,60095.035734614976
19378.94544,66291.3927694952,66200.98595224062
19378.94544,79348.49767859268,69579.98174584088
19378.94544,76826.69430369772,68923.01335309468
19378.94544,73000.98000353242,67925.1139208506
19378.94544,68689.13158049209,66812.40615919603
19378.94544,59267.38264079697,64406.10994771184
19378.94544,52743.35975311771,52363.78208691864
19378.94544,53279.89120771358,39228.47160337167
16158.471488821524,53513.24097863512,26753.48957544117
14208.833845576477,53371.494829336196,26129.986183489433
8912.073119626439,52986.39996667391,24436.056912953256
7241.083084997448,52831.90950270488,24301.3255568
7871.772960650632,52894.41887009087,24301.3255568
10493.494713390492,53101.37539546214,24941.80305553734
14347.167476282564,53381.55221500955,26174.22593129548
19378.94544,53625.185166520605,30775.01873861223
19378.94544,53226.06459183761,40546.249527788845
19378.94544,52946.95265621325,47379.44054863292
19378.94544,52828.160993932,50287.686402156614
19378.94544,52783.13389545445,51390.03540395534
19378.94544,52882.87844076783,48948.09923465986
19378.94544,52993.3022080988,46244.71540962078
19378.94544,53050.275076391445,44849.911207202254
19378.94544,52982.57863061939,46507.24896038728
19378.94544,55039.49464658974,63325.637390757474
19378.94544,71829.0316724214,67619.2505993982
19378.94544,73831.71441197088,68141.92482227476
19378.94544,72080.68400599192,67684.92859592382
19378.94544,66015.38880280367,66130.60531197488
19378.94544,58172.48541385686,64126.29969419383
19378.94544,52860.03577944699,49507.33103770378
19378.94544,53648.51724109943,30203.80518898124
18780.37235176363,53703.863247763584,27591.98594032155
17252.760366091683,53592.79998527814,27103.44835853752
19378.94544,53720.01744905008,28453.34410836852
19378.94544,53197.97158609217,41234.01975977028
19378.94544,53746.17070917046,62012.634792781406
19378.94544,61484.3399471506,64972.67214204289
19378.94544,65673.60438620242,66043.27411463481
19378.94544,74530.27971796837,68324.24130251296
19445.76821822606,79456.70466089994,69625.56750359105
21798.664434,79562.08248294603,70882.72514117147
21798.664434,79559.25385658097,70921.55364300578
21293.405852225445,79575.23437941154,70137.31413864126
19378.94544,79152.74180794664,69528.98434976669
19378.94544,77012.64898750324,68971.4573970292
19378.94544,77600.75700462122,69124.668545871
21798.664434,78309.02491879507,88083.42944704155
21798.664434,77993.18610545446,92418.9445996945
21798.664434,79140.14742481908,76674.62199435018
21047.10660149159,79560.12876075746,70069.3081611126
19378.94544,71262.10964060122,67471.29130761197
19378.94544,56758.414317132876,63764.92185803304
19378.94544,52728.81825944611,52719.785497992496
19378.94544,53238.85312113968,40233.162002080826
19378.94544,53510.215529292866,33589.6941506091
19378.94544,53501.38470100719,33805.88960130197
16562.587627502482,53542.62177538102,26882.72783292296
13261.742517314318,53302.63764882964,25827.101865829023
11594.289478725757,53181.407404527185,25293.842451239212
12854.761510769049,53273.04856628009,25696.94741105952
19378.94544,53610.6693750877,31130.392942880255
19378.94544,52747.357700190754,52265.90470513434
19378.94544,53698.73296460915,62638.96327651723
19378.94544,60332.68959455732,64678.35815322121
19378.94544,67605.66986618839,66536.12486917798
19378.94544,73304.30114255386,68004.27679998396
19378.94544,78585.54008685445,69381.21960798651
19386.00964648917,79452.77547380968,69608.9867583559
19378.94544,78974.1277053206,69482.4526459915
19378.94544,75739.62026746837,68639.81391562051
19378.94544,68650.97239208732,66802.67562138473
19378.94544,71835.10412754843,67620.83543215069
21798.664434,78986.99692591702,78776.91682101731
21798.664434,79200.4568765365,75846.754950491
21321.021445379338,79576.92805406154,70144.93911349299
19378.94544,75036.98923287683,68456.4859143859
19378.94544,62391.441535701255,65204.48962723894
19378.94544,53220.34493443799,56225.97406419657
19378.94544,53180.72328627431,41656.29092711846
19378.94544,53376.258782900346,36869.21005634712
19378.94544,53466.88027427941,34650.62358496455
